no;sand;silt;clay;depth
1;0.775;0.195;0.03;10.4
2;0.719;0.249;0.032;11.7
3;0.507;0.361;0.132;12.8
4;0.522;0.409;0.066;13
5;0.7;0.265;0.035;15.7
6;0.665;0.322;0.013;16.3
7;0.431;0.553;0.016;18
8;0.534;0.368;0.098;18.7
9;0.155;0.544;0.301;20.7
10;0.317;0.415;0.268;22.1
11;0.657;0.278;0.065;22.4
12;0.704;0.29;0.006;24.4
13;0.174;0.536;0.29;25.8
14;0.106;0.698;0.196;32.5
15;0.382;0.431;0.187;33.6
16;0.108;0.527;0.365;36.8
17;0.184;0.507;0.309;37.8
18;0.046;0.474;0.48;36.9
19;0.156;0.504;0.34;42.2
20;0.319;0.451;0.23;47
21;0.095;0.535;0.37;47.1
22;0.171;0.48;0.349;48.4
23;0.105;0.554;0.341;49.4
24;0.048;0.547;0.41;49.5
25;0.026;0.452;0.522;59.2
26;0.114;0.527;0.359;60.1
27;0.067;0.469;0.464;61.7
28;0.069;0.497;0.434;62.4
29;0.04;0.449;0.511;69.3
30;0.074;0.516;0.409;73.6
31;0.048;0.495;0.457;74.4
32;0.045;0.485;0.47;78.5
33;0.066;0.521;0.413;82.9
34;0.067;0.473;0.459;87.7
35;0.074;0.456;0.469;88.1
36;0.06;0.489;0.451;90.4
37;0.063;0.538;0.399;90.6
38;0.025;0.48;0.495;97.7
39;0.02;0.478;0.502;103.7
